"","STNAME","AGEGRP","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","H_MALE","H_FEMALE"
"149","Mississippi",4,565181,565181,304984,179645,202020,75857,97278,3589,3379
"150","Mississippi",5,110109,110109,69390,31636,50928,8362,17423,574,755
"151","Missouri",0,6137428,6137428,3124766,2507449,2578739,345492,380087,138710,129998
"152","Missouri",1,1527291,1527291,745447,612876,581973,107559,103611,54098,51903
"153","Missouri",2,1627730,1627730,807888,661484,645913,107700,110802,45330,39772
"154","Missouri",3,1516083,1516083,769607,637442,644118,78664,91760,28237,26365
"155","Missouri",4,1206593,1206593,641964,504045,562445,45604,61413,9520,9863
"156","Missouri",5,259731,259731,159860,91602,144290,5965,12501,1525,2095
"157","Montana",0,1068778,1068778,530712,479195,471016,3808,2581,22240,21049
"158","Montana",1,254416,254416,123448,107746,101293,1004,945,8699,8081
"159","Montana",2,279019,279019,134474,126212,116980,1755,954,7693,6790
"160","Montana",3,251866,251866,125679,115510,113921,740,441,3911,3969
"161","Montana",4,237936,237936,120920,111096,113766,274,176,1703,1884
"162","Montana",5,45541,45541,26191,18631,25056,35,65,234,325
"163","Nebraska",0,1934408,1934408,967959,850149,853980,52034,48729,114575,105070
"164","Nebraska",1,529821,529821,258397,226766,214801,17466,16763,48348,45985
"165","Nebraska",2,520893,520893,253251,228625,217360,17378,14985,35875,31435
"166","Nebraska",3,452532,452532,224543,205463,202599,11566,10322,22704,20145
"167","Nebraska",4,350758,350758,182638,159200,171805,5016,5660,6850,6499
"168","Nebraska",5,80404,80404,49130,30095,47415,608,999,798,1006
"169","Nevada",0,3080156,3080156,1535329,1159203,1118349,156266,160037,456384,444216
"170","Nevada",1,760272,760272,370882,273128,259966,46410,44604,160249,154165
"171","Nevada",2,850904,850904,416398,313847,292306,50545,50333,148350,140007
"172","Nevada",3,787470,787470,390528,306849,286430,37168,38349,107156,103446
"173","Nevada",4,582176,582176,302441,228394,235170,19467,23087,36088,40279
"174","Nevada",5,99334,99334,55080,36985,44477,2676,3664,4541,6319
"175","New Hampshire",0,1359711,1359711,685918,625866,640231,13736,10635,28363,26226
"176","New Hampshire",1,291038,291038,142448,133466,128111,3867,3422,9875,9104
"177","New Hampshire",2,342112,342112,166474,159292,151547,4845,3614,10239,8743
"178","New Hampshire",3,368628,368628,186671,170665,175788,3726,2532,6226,5987
"179","New Hampshire",4,300515,300515,155409,140536,150596,1165,946,1710,2004
"180","New Hampshire",5,57418,57418,34916,21907,34189,133,121,313,388
"181","New Jersey",0,8882190,8882190,4541603,3138715,3250089,636287,701170,929505,927339
"182","New Jersey",1,2151487,2151487,1051821,753729,717253,181060,175263,301378,290701
"183","New Jersey",2,2273142,2273142,1123080,788843,755694,193711,195595,286666,268007
"184","New Jersey",3,2400979,2400979,1226317,858785,875068,165740,190809,238787,238467
"185","New Jersey",4,1676493,1676493,901553,619750,703858,83395,114551,89335,107963
"186","New Jersey",5,380089,380089,238832,117608,198216,12381,24952,13339,22201
"187","New Mexico",0,2096829,2096829,1059397,849905,866751,30057,24715,512271,520671
"188","New Mexico",1,531712,531712,260844,208694,200386,8022,7537,162829,158329
"189","New Mexico",2,559632,559632,270939,229015,214339,10454,7439,153079,146538
"190","New Mexico",3,492488,492488,250777,201411,207377,7017,5512,115584,119772
"191","New Mexico",4,427487,427487,226983,178170,199959,4099,3499,68972,78851
"192","New Mexico",5,85510,85510,49854,32615,44690,465,728,11807,17181
"193","New York",0,19453561,19453561,10005715,6652069,6894707,1600450,1820673,1848220,1902838
"194","New York",1,4520996,4520996,2211837,1536050,1465574,435694,424755,568243,546822
"195","New York",2,5408503,5408503,2707352,1821248,1774418,505330,522831,597281,567205
"196","New York",3,4979606,4979606,2559904,1732808,1750928,396666,478584,453855,472894
"197","New York",4,3686338,3686338,1987965,1305457,1479793,227191,318948,196972,257169
"198","New York",5,858118,858118,538657,256506,423994,35569,75555,31869,58748
"199","North Carolina",0,10488084,10488084,5387820,3638721,3760766,1091114,1239449,528942,496888
"200","North Carolina",1,2592437,2592437,1271077,862574,821222,319073,313829,217254,210107
"201","North Carolina",2,2777194,2777194,1387652,952633,923575,323204,345720,161610,147347
"202","North Carolina",3,2708528,2708528,1395520,966185,986115,266783,323174,119080,105891
"203","North Carolina",4,2021645,2021645,1092210,733664,835309,162857,216092,27922,28937
"204","North Carolina",5,388280,388280,241361,123665,194545,19197,40634,3076,4606
"205","North Dakota",0,762062,762062,372030,338578,323977,14828,11156,16965,14567
"206","North Dakota",1,200777,200777,97773,83091,78525,4616,4329,6735,6443
"207","North Dakota",2,227616,227616,105716,102509,89306,6856,4756,6861,5230
"208","North Dakota",3,166998,166998,80774,77404,72309,2708,1706,2694,2222
"209","North Dakota",4,133079,133079,66965,63081,63506,619,339,616,552
"210","North Dakota",5,33592,33592,20802,12493,20331,29,26,59,120
"211","Ohio",0,11689100,11689100,5958538,4699519,4853217,731209,794361,240930,229532
"212","Ohio",1,2886873,2886873,1410980,1128368,1071474,229229,223314,94058,90437
